latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight,datetime
32.526742,-116.778994,40,37,5129,6289,2025-01-23,1822,L9,H,D,2025-01-23 18:22:00
32.527012,-116.778993,40,37,5129,6288,2025-01-23,1822,L9,H,D,2025-01-23 18:22:00
32.527012,-116.778674,40,37,5130,6288,2025-01-23,1822,L9,H,D,2025-01-23 18:22:00
32.527283,-116.778993,40,37,5129,6287,2025-01-23,1822,L9,H,D,2025-01-23 18:22:00
